,Country Name,Country Code,Year,Population,Period life expectancy at birth,Infant Mortality,GDP Per Capita,GNP Per Capita,PPP Per Capita,Continent,Log GDP Per Capita,Log GNP Per Capita,Log PPP Per Capita
217,Switzerland,CHE,1963,5694247.0,71.29,20.1,2508.47,2320.0,,Europe,7.827430001624309,7.749322464660356,
218,Chile,CHL,1963,8670144.0,58.35,112.1,644.89,650.0,,South America,6.469082954616535,6.476972362889683,
219,China,CHN,1963,682335000.0,51.67,,74.31,80.0,,Asia,4.308290905507034,4.382026634673881,
220,Côte d'Ivoire,CIV,1963,4112061.0,39.32,193.0,185.08,180.0,,Africa,5.220771014329208,5.19295685089021,
221,Cameroon,CMR,1963,5456623.0,43.07,162.5,131.64,,,Africa,4.880086228390107,,
222,Colombia,COL,1963,17113823.0,58.3,88.0,282.59,290.0,,South America,5.643991175352306,5.66988092298052,
223,Comoros,COM,1963,208185.0,41.91,,,,,Africa,,,
224,Costa Rica,CRI,1963,1481604.0,64.33,69.5,345.51,350.0,,North America,5.84500818303694,5.857933154483459,
225,Cuba,CUB,1963,7701660.0,64.35,36.9,,,,North America,,,
226,Curacao,CUW,1963,130860.0,66.31,,,,,North America,,,
227,Cayman Islands,CYM,1963,8970.0,60.78,,,,,North America,,,
228,Cyprus,CYP,1963,607252.0,61.78,,,,,Europe,,,
229,Czechia,CZE,1963,9670685.0,70.39,20.8,,,,Europe,,,
230,Germany,DEU,1963,74714353.0,70.12,,1502.15,1470.0,,Europe,7.314655709223455,7.293017679772782,
231,Djibouti,DJI,1963,97872.0,44.44,,,,,Africa,,,
232,Dominica,DMA,1963,61739.0,62.61,64.4,,,,North America,,,
233,Denmark,DNK,1963,4684483.0,72.42,19.6,1807.25,1720.0,,Europe,7.4995631766560455,7.450079569807499,
234,Dominican Republic,DOM,1963,3588287.0,53.75,100.7,262.19,240.0,,North America,5.569055541002498,5.480638923341991,
235,Algeria,DZA,1963,11982118.0,43.14,161.9,225.58,230.0,,Africa,5.418695521793456,5.438079308923196,
236,Ecuador,ECU,1963,5001716.0,55.32,118.3,364.74,350.0,,South America,5.89919462492189,5.857933154483459,
237,Eritrea,ERI,1963,1045092.0,38.83,,,,,Africa,,,
238,Spain,ESP,1963,31296651.0,69.77,40.8,627.28,590.0,,Europe,6.441390542470986,6.380122536899765,
239,Estonia,EST,1963,1258857.0,69.89,,,,,Europe,,,
240,Ethiopia,ETH,1963,23051637.0,40.97,,79.17,80.0,,Africa,4.37163071348548,4.382026634673881,
241,Finland,FIN,1963,4523309.0,69.18,18.4,1538.46,1470.0,,Europe,7.338535267188096,7.293017679772782,
242,Fiji,FJI,1963,444276.0,60.16,53.4,291.38,280.0,,Oceania,5.674640522157019,5.634789603169249,
243,France,FRA,1963,48877567.0,70.32,20.3,1717.7,1690.0,,Europe,7.448743672474223,7.432483807917119,
244,Faroe Islands,FRO,1963,35391.0,73.43,,,,,Europe,,,
245,Gabon,GAB,1963,531452.0,48.42,105.5,290.68,400.0,,Africa,5.672208613689486,5.991464547107982,
246,United Kingdom,GBR,1963,53650000.0,70.76,21.5,1613.46,1820.0,,Europe,7.386134288937216,7.506591780070841,
247,Georgia,GEO,1963,3816100.0,62.46,,,,,Europe,,,
248,Ghana,GHA,1963,7514714.0,47.48,119.0,205.04,190.0,,Africa,5.323192510731601,5.247024072160486,
249,Gibraltar,GIB,1963,22753.0,70.25,,,,,Europe,,,
250,Guinea,GIN,1963,3750954.0,37.2,188.6,,,,Africa,,,
251,Guinea-Bissau,GNB,1963,594418.0,35.64,,,,,Africa,,,
252,Equatorial Guinea,GNQ,1963,285965.0,43.54,,154.8,,,Africa,5.04211780164764,,
253,Greece,GRC,1963,8479625.0,70.65,36.3,685.56,740.0,,Europe,6.530234975207387,6.606650186198215,
254,Grenada,GRD,1963,97195.0,63.78,49.5,,,,North America,,,
255,Greenland,GRL,1963,36400.0,60.28,,,,,North America,,,
256,Guatemala,GTM,1963,4440264.0,46.62,145.7,284.4,280.0,,North America,5.650372922547889,5.634789603169249,
257,Guam,GUM,1963,75095.0,63.83,,,,,Oceania,,,
258,Guyana,GUY,1963,608537.0,58.64,64.1,288.82,260.0,,South America,5.665805008550982,5.560681631015528,
259,Honduras,HND,1963,2244878.0,49.38,130.2,182.73,180.0,,North America,5.207993668905107,5.19295685089021,
260,Croatia,HRV,1963,4225675.0,67.62,,,,,Europe,,,
261,Haiti,HTI,1963,4073068.0,42.72,186.0,72.4,,,North America,4.282183500131494,,
262,Hungary,HUN,1963,10087947.0,68.94,42.4,,,,Europe,,,
263,Indonesia,IDN,1963,96051424.0,48.74,134.3,,,,Asia,,,
264,Isle of Man,IMN,1963,49151.0,64.46,,,,,Europe,,,
265,India,IND,1963,468138575.0,46.46,145.5,103.44,100.0,,Asia,4.6389436016630485,4.605170185988092,
266,Ireland,IRL,1963,2852650.0,70.19,27.1,878.16,930.0,,Europe,6.777824910852155,6.835184586147301,
267,Iraq,IRQ,1963,7667928.0,54.36,117.5,235.51,300.0,,Asia,5.4617687621599895,5.703782474656201,
268,Iceland,ISL,1963,185653.0,72.94,16.4,1859.25,1760.0,,Europe,7.527927578409285,7.473069088032197,
269,Israel,ISR,1963,2379000.0,69.62,33.5,1483.53,1550.0,,Asia,7.302178779780412,7.346010209913293,
270,Italy,ITA,1963,51252000.0,69.32,39.1,1171.39,1110.0,,Europe,7.065943764013587,7.01211529430638,
271,Jamaica,JAM,1963,1721099.0,65.0,57.0,480.34,,,North America,6.174486899353505,,
272,Jordan,JOR,1963,984714.0,55.49,95.3,,,,Asia,,,
273,Japan,JPN,1963,95900000.0,69.75,23.1,775.59,740.0,,Asia,6.653626767412028,6.606650186198215,
274,Kazakhstan,KAZ,1963,10377466.0,58.61,,,,,Asia,,,
275,Kenya,KEN,1963,8627971.0,50.76,100.6,107.39,110.0,,Africa,4.676501111226234,4.700480365792417,
276,Cambodia,KHM,1963,5823010.0,43.61,,,,,Asia,,,
277,Kiribati,KIR,1963,50791.0,49.69,133.8,,,,Oceania,,,
278,Kuwait,KWT,1963,427694.0,61.99,95.0,4444.52,,,Asia,8.39942784991083,,
279,Lebanon,LBN,1963,1970316.0,64.88,59.2,,,,Asia,,,
280,Liberia,LBR,1963,1227414.0,38.31,201.5,163.13,160.0,,Africa,5.094555190967575,5.075173815233827,
281,Libya,LBY,1963,1690457.0,45.58,160.3,527.86,470.0,,Africa,6.2688347713035615,6.152732694704104,
282,Liechtenstein,LIE,1963,18093.0,70.93,,,,,Europe,,,
